,Programme,Date (dd/mm/yy),Title ,Content description,Youtube Link,Backup Link,Added to Database,Unnamed: 7,Unnamed: 8,如果需要credits去upload，請TG搵我。,Unnamed: 10,id,sheet_entry,sheet_line
10,五夜講場 - 哲學有偈傾 2020,18/01/2021,人權哪裏來？,"「我們認為下面這些真理是不言而喻的:人人生而平等，造物者賦予他們若干不可剝奪的權利，其中包括生命權、自由權和追求幸福的權利。」這段說話出自《美國獨立宣言》。也許今天我們確是認為許多人權是不言而喻的。但我們憑甚麼認為自己擁有若干權利呢？到底是上帝給予我們這些權利，還是人權從別的地方而來呢？歸根究底，人權到底是甚麼呢？今集「人權從哪裏來？」，我們就請來香港浸會大學宗教及哲學系的陳成斌教授跟我們談談！

主持：
楊俊賢（柏林洪堡大學/倫敦國王學院博士生）
關灝泉（香港中文大學哲學系博士生）
李敬恒（明愛專上學院人文及語言學院高級講師）

嘉賓：
陳成斌（香港浸會大學宗教及哲學系助理教授）

2021年1月18日
星期一11:00pm-12:00pm
港台電視31",https://www.youtube.com/watch?v=xu-QeONvRVY,https://mega.nz/file/3J4gBK4I#_FLBh7sdtLhQNcIIZjDk54chy_1SASADFs68Et2YHi4,yes,needs another back up,,,,xu-QeONvRVY,True,12
11,港食力,13/11/2020,美式漢堡包,教煮…【美式漢堡包】美國公佈制裁名單，要求國際金融機構不能與被制裁人士有商業往來，下一步會否想吃漢堡包也受到限制？黃大鈞教你自家炮製美式漢堡包，毋懼制裁！【移民前，一餐飯】Chloe和丈夫帶著兩個小孩，第一次飛英國，就是移民當地，她形容有離家出走的感覺。舉家移民前除了匆忙執拾行李、與好友道別，Chloe把握時間與家人食飯相聚；平常一餐家常便飯變得不平常，當中夾雜著離別、不捨的滋味。【蔡檔】午餐肉    最近某連鎖快餐店的一場「茶杯裡的『餐肉』風波」，勾起蔡子強昔日與午餐肉的一段「親密關係」；翻開午餐肉的檔案，原來我們之所以吃到午餐肉，跟二次大戰和美軍有關。【古早味道—米】大家能否想像到，新界一帶曾經米田處處……除了本土米，香港每隔一段時間便會出現搶米潮？香港最早幾時出現搶米？我們又是否真的會「冇米落鑊」？,https://www.youtube.com/watch?v=WpTDjDCP9OA,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC1%E9%9B%86%E2%80%94%E7%BE%8E%E5%BC%8F%E6%BC%A2%E5%A0%A1%E5%8C%85:2,Yes,,,,,WpTDjDCP9OA,True,13
12,港食力,20/11/2020,冬蔭功意粉,教煮...【冬蔭功意粉】泰國近期連串反政府示威，不少畫面似曾相識，亦勾起黃大鈞N年前採訪泰國黃衫軍示威的經歷；今集會教煮一道有泰國特式的冬蔭功意粉，這道菜有五大元素，缺一不可。【一年　一餐飯】「理大圍城」一周年，一年前他在戰場替人做飯，一年已過，他仍然堅守在廚房&hellip;他是理大廚房佬，一輩子都跟廚房脫不了關係，他認為一頓好吃的飯又是怎樣的滋味？【蔡檔】拉麵    香港人吃得最多的日本料理，相信是拉麵和壽司，但大家未必知道，拉麵成為我們視之為日本的國民料理，原來只不過是戰後短短半個世紀的事；最初，拉麵只是款式簡單的料理，發展至今日款式多多，要從七十年代講起... 【古早味道-涼茶】烏卒卒、入口苦澀、過後回甘，一碗涼茶，亦見證香港的變遷，你對這一碗香港老味道又知道多少？,https://www.youtube.com/watch?v=PtdXH1jgXdg,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC2%E9%9B%86%E2%80%94%E5%86%AC%E8%94%AD%E5%8A%9F%E6%84%8F%E7%B2%89:2,Yes,,,,,PtdXH1jgXdg,True,14
13,港食力,27/11/2020,三文魚釜飯,教煮...【三文魚釜飯】 今屆美國總統大選可算是香港人最關心的一次，比起選舉結果，黃大鈞更關心民主黨拜登的健康狀況，拜登多次在公開場合失言又記性轉差，令人質疑他是否患上認知障礙症。所以今集會教煮三文魚釜飯，這道菜結合地中海飲食元素，被認為或有效延緩腦退化。 【食一餐飯】阿嫲蒜醬 忘了每天早餐吃過甚麼、也忘記了孫兒的名字，但一餐飯的味道總令人忘記不了。 25歲乖孫照顧85歲患有認知障礙的嫲嫲，有日更加靈光一閃，想到讓嫲嫲剝蒜頭，動動腦筋之餘也製成獨一無二的蒜香醬。 【蔡檔】客家菜 「豆腐火腩飯，男人的浪漫」...但對於蔡子強而言，紅燒豆腐飯才是男人的浪漫，因為想當年紅燒豆腐飯比豆腐火腩飯便宜5毫子，可以浪漫得起。而紅燒豆腐即是客家菜的煎釀豆腐，客家菜是那個年代香港飲食的一大主流，原因跟香港經濟有莫大關係。 【古早味道】珍寶海鮮舫 受到疫情打擊，今年三月，珍寶海鮮舫宣佈暫停營業&mdash;「隨海而來，隨海而去」，這艘海上大皇宮成為不少香港人的集體回憶...,https://www.youtube.com/watch?v=pt8vl6benlE,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC3%E9%9B%86%E2%80%94%E4%B8%89%E6%96%87%E9%AD%9A%E9%87%9C%E9%A3%AF:4,yes,,,,,pt8vl6benlE,True,15
14,港食力,04/12/2020,大良炒鮮奶,教煮...【大良炒鮮奶】    政府經常叫香港人把握大灣區機遇，其實大灣區除了機遇處處，美食亦區區有睇頭，今集教大家煮一個既易煮又美味的傳統順德菜—大良炒鮮奶。【疫情下，一餐飯】    疫情持續近一年，第四波更來勢洶洶。前線化驗師、兩個小朋友的媽媽Amy指，化驗所自疫情爆發後需要24小時運作。輪更、長時間工作令Amy與家人吃一餐住家飯的機會減少；一餐飯雖然匆忙，但對Amy來說是難得休息、放鬆，陪伴小朋友的時間。【蔡檔】紅湯     我們光顧港式西餐廳，侍應經常會問要「紅湯」還是「白湯」﹖紅湯即羅宋湯，白湯是忌廉湯，好像西餐就只有這兩種湯。而香港過往是英國殖民地，我們習以為常的西餐，最常喝的餐湯，為何不是來自英國，而是來自俄羅斯的羅宋湯呢？【古早味道】街市    「菜心十蚊斤、龍躉六十蚊條、梅頭八十蚊斤...」去街市梗係要知行情啦，對於香港的街市你又知幾多？,https://www.youtube.com/watch?v=jqHSwseK9-k,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC4%E9%9B%86%E2%80%94%E5%A4%A7%E8%89%AF%E7%82%92%E9%AE%AE%E5%A5%B6:9,yes,,,,,jqHSwseK9-k,True,16
15,港食力,11/12/2020,龍蝦芝士通粉,教煮...【龍蝦芝士通心粉】    個個都話去外國讀書，想知道在外地留學有甚麼好吃？今集黃大鈞教大家煮留學必食菜式—芝士通心粉，一道價錢便宜又容易在外國超市買得到的留學生恩物，今次更加入升級食材，成為超邪惡龍蝦芝士通心粉！【畢業。一餐飯】    廿多年前，鄧照華接手經營中大新亞書院的學生飯堂，自此為中大學生煮一餐飯。經歷過沙士，卻敵不過新冠肺炎，鄧經理說，要無奈關閉這個富有人味的學生飯堂。「留班」廿多年，六十多歲的他今年終於「畢業」，他的感受如何？為一代又一代的學生煮一餐飯又有甚麼感覺？【蔡檔】兩餸飯    從前大學的學生飯堂，最著名的一道菜是所謂的「頹飯」。近年因為注重健康飲食，「頹飯」已經進化成賣相較好的「兩餸飯」、「三餸飯」，這跟台灣的自助餐有點相似。【古早味道】雪糕車    擁有流動小販牌照的雪糕車，播住藍色的多腦河音樂，穿梭鬧市之間，是不少香港人的童年回憶。雪糕車可以四處流動，不過流動美食車就受到限制，最近更受疫情打擊而面臨「自然死亡」...,https://www.youtube.com/watch?v=epEvP1iAkgc,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC5%E9%9B%86%E2%80%94%E9%BE%8D%E8%9D%A6%E8%8A%9D%E5%A3%AB%E9%80%9A%E7%B2%89:7,yes,,,,,epEvP1iAkgc,True,17
16,港食力,18/12/2020,葡國雞,教煮...【葡國雞】    澳門回歸二十一周年，以往不少香港人喜歡「過大海」，除了會去賭場，更加鍾情澳門葡菜，不過因為疫情，短時間內都應該未能出行，所以今集教大家煮葡國雞，解一解鄉愁。【一餐飯】最後一杯    位於中環百子里公園的「七一吧」營業近16年，最終因為租金問題宣佈結業。最後一夜，熟客紛紛前來舉杯告別。由「六四吧」到「七一吧」，老闆Grace指自己跟酒吧的顧客一起成長，見證城市變遷、社會大小故事。【古早味道】土生葡菜    說起澳門，你會想起杏仁餅、賭場、抑或「葡國菜」？澳門曾經是葡萄牙的殖民地，你以為會找到正宗的葡國菜，但原來「葡撻」、「葡國雞」等澳門名物，是屬於另類的葡國菜...【蔡檔】飲茶    街上遇到老朋友，寒喧幾句，別時不忘加上一句「得閒飲茶」。上茶樓飲茶，淵源於廣州「羊城美點」，是不少香港人的生活寫照。「飲茶」最重要的不在於各式各樣的點心，與家人聚首一堂，一邊飲茶一邊談談生活瑣碎事，才是飲茶的精髓,https://www.youtube.com/watch?v=WZEX4hDPeDw,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC6%E9%9B%86%E2%80%94%E8%91%A1%E5%9C%8B%E9%9B%9E:3,yes,,,,,WZEX4hDPeDw,True,18
17,港食力,25/12/2020,蘋果肉桂蛋糕,教煮...【蘋果肉桂蛋糕】    疫情下過聖誕，低調地在家做個甜品應節是不錯的選擇。今集黃大鈞教大家煮蘋果肉桂蛋糕，家中就算沒有焗爐亦可以做到的電飯煲版。【六口子　一餐飯】    崇尚大自然的爸媽帶著四名子女「溢悅星辰」，到森林裏玩繩索，「自己嘢食，自己煮」，縱使小朋友會跌倒、會被刀弄傷，但爸媽深信孩子在逆風中能夠長得更高、飛得更遠... 【蔡檔】聖誕大餐    聖誕節會吃聖誕大餐，在西方，聖誕大餐傳統上是吃些甚麼呢？原來古時英國人在聖誕節習慣吃鵝，甚至是吃燒豬頭，這背後原來又有一段故事... 【古早味道】夜總會    大家聖誕節有甚麼節目？想當年會去餐廳食聖誕大餐，同屋企人去尖東睇燈飾，或者約朋友去蘭桂坊食飯倒數！至於跳舞...聽到都怕怕！,https://www.youtube.com/watch?v=Wm2etwbx_WM,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC7%E9%9B%86%E2%80%94%E8%98%8B%E6%9E%9C%E8%82%89%E6%A1%82%E8%9B%8B%E7%B3%95:f,yes,,,,,Wm2etwbx_WM,True,19
18,港食力,02/01/2021,筑前煮,教煮...【筑前煮】    踏入2021年，大家最關心的應該是疫情幾時會完，可以再出發。不少香港人視日本為第二個鄉下，今集黃大鈞教煮日本人過新年的食物：筑前煮。【結婚　一餐飯】    Elvis和Karen愛在疫情蔓延時，二人在2018年開始籌備婚禮，計劃在2020年12月初結婚，但人算不如天算，結婚前一個月，第四波疫情爆發，政府在一個月內多次收緊婚禮及宴會人數上限，令籌備過程困難重重，直至結婚前三日，又再收到令他們措手不及的消息... 【蔡檔】筵席    我們從小到大出席過無數次的飲宴，甚麼「八大菜」、「兩熱葷」、「美點雙輝」...港式筵席的格局和菜式數目是否從來如此？【古早味道】    大牌檔    要食鑊氣小炒，識食的你，當然要光顧「大牌檔」﹗雖然「好天曬，落雨淋」，但這種街邊熟食檔，即叫即做的飲食模式，廣受大眾歡迎，你對大牌檔的前世今生又知道多少？,https://www.youtube.com/watch?v=MweVG1juVIg,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC8%E9%9B%86%E2%80%94%E7%AD%91%E5%89%8D%E7%85%AE:1,yes,,,,,MweVG1juVIg,True,20
19,港食力,08/01/2021,避風塘炒蝦,教煮...【避風塘炒蝦】    最近新聞經常提到，一些國家聲稱要為香港人提供避風港，講到「避風」，避風塘小炒是香港地道美食，在未有避風港之前，先炒一味避風塘炒蝦，懷緬一下香港本土味道。【香港人食香港菜】    若你愛這個地方，不如就吃來自這片土地的菜﹗「香港人食香港菜」近年成為不少人的口號，馬寶寶社區農場Becky說，自上年疫情以來，更多香港人希望可以食到本地蔬菜，但面對新界東北發展，「這個家」預計在今年內又要面對收地、拆遷的問題。如若你愛這個家，請不要任由她倒下... 【古早味道】本地農業    新界地區曾經可是香港的「糧倉」，由五十年代開始，港英政府注重本地農業發展，例如會為農民提供低息貸款，而嘉道理農場又會向貧困農民贈送牛隻，所以直到八十年代，可謂本地農業的黃金年代。時至今日，本地農業式微，近年政府又提出發展新農業，究竟香港能否回復當年的黃金歲月？【蔡檔】咖啡與咖啡館    有人曾經這樣形容咖啡：「黝黑如暗夜，炙熱如地獄，苦澀如失戀。」原來咖啡其實不是源於歐美，反而是非洲及阿拉伯世界，更是回教世界重要的日常飲料。而咖啡館自由開放的氛圍，則成為了不少地方針砭時政的公共空間。,https://www.youtube.com/watch?v=WVzftUZ-cig,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC9%E9%9B%86%E2%80%94%E9%81%BF%E9%A2%A8%E5%A1%98%E7%82%92%E8%9D%A6:1,yes,,,,,WVzftUZ-cig,True,21
20,港食力,15/01/2021,外婆紅燒肉,教煮...【外婆紅燒肉】    回想當年做記者的生涯，黃大鈞覺得最辛苦的算是到外地出差，既缺乏人手支援亦要經常趕「死線」，唯一苦中作樂就是可以嘗試一下當地美食，好像去上海就可以嘗一嘗馳名「紅燒外婆肉」...咦，我們不會這麼殘忍，應該是「外婆紅燒肉」才對﹗但是在今天的香港，很多事情也是上下左右前後顛倒，你也應該習慣了吧！【體育記者的一盒飯】    2020年，12月某日，有線電視突然宣佈裁員，體育記者林普斯是其中之一。他形容自己是有線「青訓」出身，畢業後在有線工作，中間離開過，後來減薪重回「母會」。他心中的有線新聞部有何吸引的地方？在母會吃最後的一盒外賣飯盒，又有何感覺？【古早味道】街頭小食    香港的街頭小食款式多，想當年小販可以在街上叫賣，咖哩魚蛋、臭豆腐、煨番薯的氣味夾雜人潮聲傳遍街頭。隨著政府打擊無牌熟食小販，有些街頭小食也逐漸消失。【蔡檔】奶茶    中國人傳統上沒有下午茶這習慣，今天港人三點三喝下午茶，是脫胎自英國留下的傳統；正如一套講述南非前總統曼德拉事蹟的電影中，有這一幕：曼德拉招呼客人，親自為對方斟茶，再加奶，邊說英國人留下了很多東西，但依他之見，下午茶是最好的那一樣。那麼，英國人又是幾時開始飲茶，又為何會在茶中加奶呢？,https://www.youtube.com/watch?v=KlF3Z_4qQw4,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC10%E9%9B%86%E2%80%94%E5%A4%96%E5%A9%86%E7%B4%85%E7%87%92%E8%82%89:c,yes,,,,,KlF3Z_4qQw4,True,22
21,港食力,22/01/2021,臘味炒糯米飯,教煮...【臘味炒糯米飯】    冬天食臘味糯米飯夠暖身，但生炒的話，費時又費力氣，今集主持黃大鈞教煮簡易版臘味炒糯米飯。還是比較喜歡傳統生炒？要不要來個初選決定？【地上飛機餐】    新冠肺炎肆虐，全球停擺，令航空業步入寒冬，做了八年港龍機師的Jeffrey被裁，以往覺得很普通的飛機餐變得遙不可及。在不能飛的日子，有朋友轉行做巴士司機、的士司機、外賣速遞員，Jeffrey則選擇幫助流浪貓，放下飛機師身分繼續逆風而行。【古早味道】蛇羹           「秋風起，三蛇肥」，因為蛇會儲足營養準備過冬，所以這段時間格外肥美。據說在中國，最早食蛇的是廣東人，李時珍《本草綱目》亦有記載：「南人嗜蛇...」。【蔡檔】鋸扒    有一個說法，英國人吃了牛肉，才贏得了自由，到底兩者的淵源為何呢？在香港，西餐廳的鐵板牛扒是港式飲食文化經典之一，原來當初是由一連鎖飲食集團將鐵板牛扒引進香港，自此在香港落地生根，吱吱聲四起。,https://www.youtube.com/watch?v=_sonvlFn9Gs,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC11%E9%9B%86%E2%80%94%E8%87%98%E5%91%B3%E7%82%92%E7%B3%AF%E7%B1%B3%E9%A3%AF:5,yes,,,,,_sonvlFn9Gs,True,23
22,港食力,29/01/2021,香橙骨菜飯,【香橙骨菜飯】    疫情持續，大家多了在家煮飯，但不是人人都是廚神，於是網上見到不少地獄廚神級的暗黑料理，其實簡簡單單一些材料，都可以煮出好味又有營養的菜式，今集黃大鈞教煮橙飯&hellip;有橙有飯的香橙骨菜飯。【夜更。一餐飯】    蔡志強既是區議員，也是一名夜更的士司機。他入行十多年，未曾試過晚市無堂食，要屈在車廂，才可食一頓「安樂茶飯」。2019年，他認為香港仍有希望，決定參與區議會選舉，誤打誤撞成為區議員。當選一年多，他眼中的香港，變成了一個怎樣的社會？【古早味道】制水    深水埗主教山下的百年配水庫重見天日，羅馬式建築令人驚嘆，講到配水庫，亦令大家想起當年要周圍撲「水」的日子。【蔡檔】盆菜和佛跳牆    要數最有代表性的新春食物，首推是油角、煎堆、年糕、蘿蔔糕之類，但近年，盆菜卻有後起之勢，原來盆菜的源起，是與戰亂有關。而跟盆菜類似的佛跳牆，亦曾經在台灣年菜預售排行榜中，高踞榜首。,https://www.youtube.com/watch?v=mKC6rWSor70,https://odysee.com/@hkfood:2/%E6%B8%AF%E9%A3%9F%E5%8A%9B%EF%BC%9A%E7%AC%AC12%E9%9B%86%E2%80%94%E9%A6%99%E6%A9%99%E9%AA%A8%E8%8F%9C%E9%A3%AF:5,yes,,,,,mKC6rWSor70,True,24
23,視點31,25/02/2015,鼠族的地下人生,"「鼠族」，地下室居民統稱。據估計，北京鼠族多達100萬人。
他們各有初衷，在不見天日的角落，默默支撐著首都的繁華盛世。",www.youtube.com/watch?v=HxH6F9qqZc8,https://mega.nz/file/8oggRKjA#UziJXSzzzwEsFm5mJ0m5WcCiNUJwExyS-gkpsPTVaOk,yes,needs another back up,,,,HxH6F9qqZc8,True,25
24,五夜講場 - 哲學有偈傾,05/01/2021,香港哲學家：陳漢生,"你可能認識哲學，但對於香港研究哲學的學者專家你又理解多少？《哲學有偈傾》推出全新系列，專訪香港哲學家，讓大家了解他們為何會以哲學作為志業、他們研究甚麼和如何理解學問跟社會的關係等等。
第三集我們就請來在英語學界研究中國哲學的 Chad Hansen （陳漢生）教授來為我們分享。講述他如何由美國來港學廣東話，再到研究中國哲學。又會提到他跟周恩來見面的經歷。亦會講及他對於中國哲學的看法，如何由語言角度研究中國哲學。

主持：
楊俊賢（柏林洪堡大學/倫敦國王學院博士生）
吳啟超（香港中文大學哲學系高級講師）
劉保禧（通識教育基礎課程講師）
嘉賓：
Chad Hansen（香港大學哲學系名譽暨講座教授）

2021年1月4日
星期一11:00​pm-12:00pm
港台電視31",www.youtube.com/watch?v=6FSwI6RmMss,https://mega.nz/file/8gIGBTpQ#sO8hlyOLBSspINVJKacyytIOa6ovS0Xg8F2QvcicvIs,yes,needs another back up,,,,6FSwI6RmMss,True,26
25,鏗鏘說,07/04/2019,倪匡-無非是這樣,"家傳戶曉的傳奇作家倪匡，曾經寫過一篇具預言性的科幻小說《追龍》，故事說東方有一個城市將會滅亡，原因不是什麼天災，而是因其優點盡失。
他坦言故事中的城市就是失去自由的香港，近年發生的DQ事件、釋法、地鐵連番工程失誤、及準備立法的《逃犯引渡》條例，是否算是一一言中？
倪匡由他青年時期在內地當公安，說到在香港當作家的日子，豁達常樂的性格，卻對香港前景甚為悲觀，他在古稀之年，有何智慧跟香港人分享？

主持:石永泰

資料更正:訪問提及香港終審法院首席法官,應由香港行政長官任命。",https://www.youtube.com/watch?v=Fy8fvjJwmWA,https://mega.nz/file/h9ZllAJI#9gyiiCEGA2YWe5gr33xS4ewBkBM852kRY1Q8mOFefyw,yes,needs another back up,,,,Fy8fvjJwmWA,True,27
